"年月","國別","基隆市[金額，新台幣]","基隆市[筆數]","新竹市[金額，新台幣]","新竹市[筆數]","新竹縣[金額，新台幣]","新竹縣[筆數]","苗栗縣[金額，新台幣]","苗栗縣[筆數]","彰化縣[金額，新台幣]","彰化縣[筆數]","南投縣[金額，新台幣]","南投縣[筆數]","雲林縣[金額，新台幣]","雲林縣[筆數]","嘉義市[金額，新台幣]","嘉義市[筆數]","嘉義縣[金額，新台幣]","嘉義縣[筆數]","屏東縣[金額，新台幣]","屏東縣[筆數]","宜蘭縣[金額，新台幣]","宜蘭縣[筆數]","花蓮縣[金額，新台幣]","花蓮縣[筆數]","台東縣[金額，新台幣]","台東縣[筆數]","澎湖縣[金額，新台幣]","澎湖縣[筆數]","金門縣[金額，新台幣]","金門縣[筆數]","連江縣[金額，新台幣]","連江縣[筆數]"
"103年05月","南韓","4495930","933","10616804","2225","13890949","2084","4373218","927","10263369","1705","1503998","353","2836583","576","1920087","376","2222183","387","4254604","767","3982777","603","3317902","523","707983","127","776212","178","181369","47","41176","9"
"103年05月","法國","2541718","193","10127049","638","9515700","700","3043099","217","5395237","433","2447988","204","1816628","129","1869540","172","1282261","115","2997499","192","2478371","176","2015690","105","565196","70","21840","1","86331","10","0","0"
"103年05月","義大利","2174581","144","7013089","481","5944522","382","2071090","190","4931702","376","1844217","99","1285635","67","1783990","101","335822","37","1321815","67","1044174","52","1373595","76","385482","19","302094","10","19920","2","0","0"
"103年06月","英國","27585320","22359","58088737","34816","52186979","36066","22000695","26384","50765466","42682","14458157","16056","16974313","19604","12861871","12651","12243145","14352","23037154","24693","14925219","16858","12364213","13614","5131264","6452","2269140","3251","1568729","1944","119142","396"
"103年06月","日本","17199491","4662","41262509","9871","34215042","7916","10567794","2674","26570144","6115","7139566","1806","10081713","1954","11116685","2618","6366650","1385","12762157","3031","10393968","2246","5215303","1145","2231983","489","1310616","263","470573","108","153534","35"
"103年06月","美國","7692140","2962","39552350","8644","36814504","6637","8241644","2295","24135059","5119","5177002","1473","6354563","1473","6908403","1478","9718685","1426","13863686","2514","7186608","1923","5109082","1307","2369063","645","748397","201","514536","133","58385","9"
"103年06月","中國","13699766","4741","26203865","8207","25793215","7679","10526880","3701","21448868","7281","6690640","2296","6153073","2595","5905018","2369","4676357","2044","8054611","3713","8263501","3436","5409097","1915","2352779","1074","611970","319","1062169","398","47966","63"
"103年06月","香港","8788173","1433","13910673","2745","12094113","2259","4257928","1063","15397723","2255","2722337","640","4502834","682","3215384","612","2415770","471","8956459","1120","4804683","735","2070350","530","1004893","189","283754","87","291267","83","23613","7"
"103年06月","新加坡","4889507","1126","9414564","2861","14539008","2436","4400090","1147","9679789","2254","3474376","743","3348053","792","2994432","618","14073042","583","4704351","1115","3012544","755","1796772","507","988528","250","337194","96","728184","97","90574","29"
"103年06月","盧森堡","5989164","12595","12622287","23509","10783794","20395","5895700","12671","8744688","20733","3207557","7295","3749235","8119","2937738","6834","2476584","5807","4586635","10365","4030285","8928","2609461","6021","1885993","2569","519183","1142","486584","880","67700","159"
"103年06月","南韓","5287306","1218","10981304","2352","11450483","2107","3536428","668","8631368","1433","2783759","529","2468974","429","2207286","411","1478259","295","4806327","936","4142973","725","1886278","449","919809","138","381345","171","191393","45","20607","10"
"103年06月","法國","4810519","262","10501064","850","9358650","821","5199755","300","8151757","504","2501761","171","1761705","130","3416550","206","1685694","106","3552551","221","2491627","179","1928016","114","246610","52","264711","17","37049","6","0","0"
"103年06月","澳門","2907707","156","5190344","333","13249918","253","2957440","152","4051683","299","1883023","107","1583913","93","1566375","114","1406675","72","1213384","124","790220","106","867506","76","482161","20","6909","5","400943","7","41892","1"
"103年07月","英國","24347903","22516","55939903","35907","45407129","35948","23600685","26545","47486340","44270","16963785","16729","17270409","19902","13462320","12410","10379702","14117","23709960","24879","16253670","17154","12038817","12881","5068721","6777","2035676","3502","1837738","2311","238025","473"
"103年07月","日本","16384521","4294","51021303","12051","44624050","9472","11942462","3025","33257823","7348","8892434","2351","11195082","2772","13540433","3322","8201865","1727","14244010","3355","10913049","2615","6705636","1532","3474649","890","2026640","464","1451731","332","176827","33"
"103年07月","美國","16602997","3101","39720163","8676","36273066","7069","9436225","2359","23047553","5746","5801790","1535","9560965","1840","6920259","1523","7737607","1620","19659055","2631","8996614","2211","5774362","1356","2598048","658","911079","169","620980","167","43050","8"
"103年07月","中國","14076351","4544","28600760","8062","27701074","7606","10876705","3528","21618893","7076","7121708","2207","7675489","2758","6555464","2382","4605402","1987","9128446","3604","7892684","3482","4553631","1771","2276566","1073","735935","354","1424021","426","86976","66"
"103年07月","新加坡","6646652","1619","17292108","3328","17551753","2916","7187369","1341","12395322","2639","2876021","826","3563345","906","4637549","760","10797209","745","5231559","1398","3085534","914","3160804","725","1239895","329","363854","103","403736","136","46859","14"
"103年07月","香港","11168529","1495","12986947","2691","12767632","2420","4375679","1089","11195186","2272","5022626","632","3294615","762","3268428","700","3546710","591","5157282","1261","2968800","708","2637856","543","760426","253","431060","133","391440","123","34623","12"
"103年07月","盧森堡","6329649","13612","11990005","25694","10600754","23344","6187108","13750","9898198","23576","3561562","8224","4146238","8963","3117270","7413","2918158","6758","5118162","12082","4147982","9936","2547977","6482","1925585","2978","587250","1257","685319","1120","104080","184"
"103年07月","南韓","6122755","958","10473276","1857","11858103","2229","5856248","839","10302884","1504","4265742","572","2780610","461","2942745","549","1951191","362","6047682","953","4327463","536","2469849","473","1168948","201","995746","189","364149","56","339956","25"
"103年07月","法國","2650215","256","21059399","1424","10047719","958","3468239","270","15394972","657","2558787","203","2726237","238","2889745","326","1400074","176","2397190","294","4184759","272","1559010","172","320110","37","293543","20","295623","42","39405","9"
