"年月","國別","基隆市[金額，新台幣]","基隆市[筆數]","新竹市[金額，新台幣]","新竹市[筆數]","新竹縣[金額，新台幣]","新竹縣[筆數]","苗栗縣[金額，新台幣]","苗栗縣[筆數]","彰化縣[金額，新台幣]","彰化縣[筆數]","南投縣[金額，新台幣]","南投縣[筆數]","雲林縣[金額，新台幣]","雲林縣[筆數]","嘉義市[金額，新台幣]","嘉義市[筆數]","嘉義縣[金額，新台幣]","嘉義縣[筆數]","屏東縣[金額，新台幣]","屏東縣[筆數]","宜蘭縣[金額，新台幣]","宜蘭縣[筆數]","花蓮縣[金額，新台幣]","花蓮縣[筆數]","台東縣[金額，新台幣]","台東縣[筆數]","澎湖縣[金額，新台幣]","澎湖縣[筆數]","金門縣[金額，新台幣]","金門縣[筆數]","連江縣[金額，新台幣]","連江縣[筆數]"
"104年01月","新加坡","4988594","1240","19299203","3152","13536303","2519","5224222","1315","10610284","2417","2801123","769","3037226","838","2829113","707","11762247","648","4388934","1103","3467910","814","2383748","608","1074001","310","360494","152","322460","80","38673","15"
"104年01月","香港","6167930","1226","13143720","2260","11918067","1989","4268431","793","13945316","1740","2560796","542","2461462","542","2931600","475","2022502","426","5209061","966","2937316","566","2276278","385","552363","155","629957","84","240257","59","37013","11"
"104年01月","南韓","4103921","910","8349377","1859","8940263","1912","4548533","809","8502752","1584","5527135","498","2420181","567","3363691","600","2522518","403","5093433","866","4033826","686","2620662","476","899995","166","974669","177","300181","76","91161","9"
"104年01月","法國","1784480","124","10077524","721","7695327","415","2432527","195","5279280","393","1544549","163","1109846","133","2229666","91","640878","72","1808121","152","1586206","128","797244","90","564282","39","149082","11","144377","31","593","1"
"104年01月","澳門","3139575","190","5014637","286","6490956","271","1700885","103","4797066","230","1295398","52","1373666","63","700396","82","641346","82","1609321","154","1810019","80","1161552","39","224174","35","125872","15","350465","12","62584","3"
"104年02月","英國","24507309","21134","47728574","31007","52679507","31757","24036910","23961","47722022","40430","14674612","14598","18314603","18367","12185002","10444","12883488","13902","24045634","22235","16516311","15705","13236244","13025","5119049","6796","2627856","3793","1816637","1781","321630","502"
"104年02月","日本","22151179","5015","60914304","12576","55445381","10416","16696850","3715","43436377","7996","10333587","2243","14566097","3072","13126123","2697","10127203","1950","19141092","4321","15122226","2978","10255933","1901","3973550","954","2843937","557","1629223","381","381001","86"
"104年02月","美國","10662192","3198","36584060","8706","29577712","6698","8827290","2727","19957845","5408","4488508","1641","5009719","1749","5662482","1633","4642206","1281","7540666","2541","6296842","2187","4791536","1550","2433781","687","877610","325","463070","141","273950","125"
"104年02月","盧森堡","8158499","13477","13924392","22462","13117626","21183","7286880","12889","14184753","22009","4271144","7693","5463164","8912","3685524","7016","3478822","6412","6393024","11824","5515037","10312","3845328","6800","1898477","3159","819372","1536","472184","993","118485","175"
"104年02月","中國","8397110","3066","15535245","4876","15043929","4462","5644096","2344","13492478","4773","4575634","1503","4201738","1786","3870818","1511","2657092","1450","6772445","2912","4968601","2299","3621651","1572","1183180","615","518169","271","668087","259","176581","48"
"104年02月","新加坡","4026518","1213","15501512","2858","11417272","2318","4157067","1272","9644398","2416","2999236","695","2608557","780","3157825","688","9689316","534","4346769","1033","3550631","838","2315088","602","988257","318","463633","122","311871","83","64319","24"
"104年02月","南韓","3733805","762","9224696","1603","10091937","2099","4190347","760","8996252","1494","4397634","467","4130149","521","3916691","555","2003722","353","4385447","804","4149071","586","2864169","460","963168","156","1923252","182","625714","88","213243","22"
"104年02月","香港","5147279","1189","9317430","2115","10089028","1751","3461561","848","9466419","1745","1915697","479","2177320","613","2522914","467","1776529","391","5120848","944","2659493","582","1729726","453","926818","236","445631","96","207655","52","7971","20"
"104年02月","法國","1757349","176","9139600","840","16540051","559","2821714","225","4808555","331","1782353","135","2554770","154","7534042","196","491012","45","1710329","120","1986509","125","369993","78","582927","45","250763","8","414480","29","0","0"
"104年02月","義大利","2804286","165","5973632","583","5348878","392","3198392","113","4584217","241","867973","61","1334766","97","1394477","74","884927","70","4092461","79","1678716","113","691893","47","487554","35","41688","8","37325","8","0","0"
"104年03月","英國","23417798","22816","60792007","33876","82912392","34255","26197544","26482","55348243","42948","19379892","15882","21947633","19873","13805705","11102","14057282","14377","27635575","23447","20255064","17527","14181581","13747","6254460","7450","3529539","3593","2422159","2249","357797","442"
"104年03月","日本","25639803","5900","53893340","12001","45701157","9396","17889542","4166","53924461","8690","12670789","2604","15954629","2900","14304464","3255","10204558","2043","25072199","5052","17751921","3548","11495944","2054","4722134","932","2176503","392","1141660","259","396316","37"
"104年03月","美國","13824985","3771","42508326","9025","34832669","7556","12672072","2928","33285642","6548","6140475","1945","7042065","2133","7892455","2176","6619555","1846","10112749","2903","7490975","2612","6120873","1695","2378663","718","1101581","339","611949","222","156601","127"
"104年03月","中國","25528899","6249","30145407","9910","29798346","9228","12982649","4857","24863166","9857","7306098","3057","7195720","3218","6336708","2899","6045205","3265","10467999","5050","8617318","4141","6988449","2734","2820030","1285","940007","510","875716","432","246708","92"
"104年03月","盧森堡","8096373","10849","16205491","18912","20992838","17591","7929572","10846","13184765","18619","4405808","6394","5914629","7800","4155237","5792","3536238","5320","7472893","10259","6501249","8798","5106187","5871","1870789","2741","947875","1292","566040","929","123570","148"
"104年03月","新加坡","6289681","1588","19137522","3390","15906146","2967","5841830","1485","12571991","2782","4482099","895","3864822","988","4743062","946","9361356","710","5516449","1307","4059721","1012","2765521","807","1850086","360","526188","127","350240","89","84468","20"
"104年03月","香港","6624670","1297","12323039","2365","11193661","2167","4312407","925","10866475","2013","2791977","631","2704488","587","3048914","519","3436165","414","6890296","1170","4037200","706","3474728","503","859106","213","485098","145","128032","45","50714","18"
"104年03月","南韓","4592964","835","8114373","1694","8529219","1739","3659637","648","9985471","1490","6928066","603","2819832","399","2116568","417","1491482","373","5930028","892","5839843","734","2611264","486","804500","134","880370","110","290126","36","41617","14"
"104年03月","法國","2902298","180","7655537","870","10975600","517","3682629","249","8952620","492","2027669","174","4741330","153","2390227","119","1196890","71","3283989","284","2821289","152","949665","98","176220","31","251202","12","47803","9","0","0"
"104年03月","義大利","1908343","134","7332831","469","6089666","281","2378248","153","7468380","431","861962","74","771066","75","1385069","90","506876","62","2069219","117","755883","75","1608970","74","393093","26","321085","13","90180","6","0","0"
"104年04月","日本","25683268","5914","70009832","15711","61106563","12715","23682063","5224","52266502","10341","16564919","3255","16333236","3231","18641589","3872","12546886","2343","25312108","5109","21540060","4382","10682717","2201","6228449","1094","2024601","430","1280657","353","713989","53"
"104年04月","英國","25170292","23378","57171708","34799","50553649","36973","25261743","27356","52857300","44359","15490135","16366","22884513","20057","13653966","11648","12964145","13953","24860938","24111","17836965","17589","13592730","13386","5276853","6966","2511229","3538","2297414","2082","467748","475"
"104年04月","美國","13983128","3726","42308500","9410","36777879","7549","11806731","4265","27717994","6305","6982210","1963","7769787","2071","7894794","1917","6377944","1707","10182376","2917","7987419","2607","8093844","1867","1934516","716","1482186","455","713903","200","241362","139"
"104年04月","中國","15942968","5964","28606074","10112","27575663","9114","11623915","4849","24303110","10140","8458719","3125","7673127","3305","6382603","3196","5561567","3344","11217686","5372","8593490","4340","4908751","2381","3535552","1511","1111776","687","1100944","524","205042","70"
"104年04月","盧森堡","8377702","12362","18367461","22726","16153109","20368","8551712","12592","14991700","21213","4805574","7458","6321502","8852","4431573","6633","4151351","6262","7316393","11458","6596064","9810","4554267","6444","1785256","3071","883516","1319","563295","1087","174930","201"
"104年04月","新加坡","6036904","1609","21189478","3583","17497190","3279","5106699","1508","13592872","3265","3109085","906","3530915","990","4278261","894","5041976","746","6191287","1489","4105497","1031","4318440","827","1472887","378","618579","131","283389","82","73210","17"
"104年04月","香港","7992861","1454","14380344","2695","12967741","2137","4024600","905","12711517","2232","2811176","609","2974755","607","3637038","580","1984645","387","5903541","1044","3989570","751","2502220","442","1073992","216","478359","136","407851","78","192553","13"
"104年04月","南韓","4667606","1031","8894036","1980","9896590","2228","3965418","862","9131389","1379","6724607","767","2494169","461","2987130","500","1871348","400","6430464","1097","4182751","632","3221713","448","1576951","193","737708","147","662663","63","123839","21"
"104年04月","法國","3016760","247","10781063","1073","7196315","554","4038860","310","5864839","496","2120500","185","1084453","148","2072717","150","871041","101","3439091","307","2027626","171","977999","81","1009498","88","62515","13","158745","24","25081","2"
"104年04月","義大利","4204274","217","8056423","515","4361522","309","1871779","139","4352974","252","1629198","81","771283","108","835337","47","1132986","82","2491536","119","1545052","111","1023779","87","215444","44","12203","7","479678","24","0","0"
"104年05月","英國","27201897","25103","64182090","38836","59824604","41136","27167419","30833","55092622","49604","18812776","18825","22485877","23087","13916376","12989","14349105","15907","28917729","26937","19610388","19225","13444940","15149","6937483","8022","3004323","4102","2361469","2166","569672","610"
"104年05月","日本","28817150","6861","67411010","15424","56873119","12563","23627762","5240","49171046","10056","14236800","3301","15853870","3494","17248220","3817","12112060","2638","25449380","5341","20755164","4024","12033450","2586","6945269","1143","2488776","383","1500076","331","192867","27"
"104年05月","美國","16305062","3917","48755770","10211","49377604","8252","13965460","6195","32147462","6925","7715698","2006","9198217","2261","9111319","2124","7217142","1919","12835204","3271","8916838","2846","7899912","1824","3133382","1051","854997","317","566066","155","351792","193"
"104年05月","中國","14357921","6581","32393586","11176","30817744","10472","12415084","5362","25419596","11013","8750484","3572","-3322728","3793","8062620","3690","6706845","3601","11092653","5676","8803852","4795","6773338","2700","3636366","1666","1149940","670","1002937","618","132237","46"
"104年05月","盧森堡","9980029","14325","20828447","26814","18877005","24664","10358667","15280","17870381","25762","6324412","9314","6802227","9959","5242431","7689","4772661","7315","9198655","13956","7575570","11369","5979314","8071","2223729","3597","975395","1502","697639","1185","189690","254"
"104年05月","新加坡","7979402","1827","20429145","4081","19007997","3386","5904621","1724","14963820","3318","2801858","1162","4609727","1238","4617908","1124","7042354","839","6766069","1612","4658186","1146","4785741","888","1537754","372","821223","182","555923","123","270649","33"
"104年05月","香港","8436115","1555","17391824","2743","13496935","2475","5463392","1134","12239661","2308","3854617","743","2853865","640","3018434","572","2944625","501","5787411","1256","4010958","845","3101880","549","935211","246","276418","69","344448","77","51117","10"
"104年05月","南韓","5043554","1106","9735478","2155","9845746","2324","4936201","860","9440709","1670","5784842","569","3061045","506","3262522","417","2708865","440","5007508","877","5438844","764","2452368","448","956361","115","471293","147","299697","54","45186","-1"
"104年05月","法國","3741833","435","12284782","1228","9939434","728","3881989","368","9034782","614","1703152","192","3206454","226","1968955","156","1174230","120","4219831","234","4163972","259","1278766","90","1250553","39","300546","26","132024","11","8925","2"
"104年05月","澳門","2339445","168","6311142","350","20471499","307","1963438","122","3267048","235","616693","65","1911244","135","2251246","132","1302727","80","822453","128","616614","79","621170","47","122370","16","306321","15","28539","7","4208","1"
"104年06月","日本","37773840","7963","89998362","19819","77000934","15862","26755783","5982","59917813","11619","15198507","3394","17973213","3515","17679409","3891","13078209","2905","27610154","5662","20443643","4607","11451361","2627","7883881","1453","2728729","589","2071020","380","331720","46"
"104年06月","英國","30867737","23685","70593044","37923","60445866","39046","25668587","28164","61014245","47602","18738101","17509","21726722","20585","13767109","11969","14442819","15579","26924750","25341","21649221","18087","17279958","13256","6446691","7078","2743570","4413","2302550","2172","581885","599"
"104年06月","美國","27064137","4333","47889746","11274","41197681","8951","14320880","4720","30948756","6909","7867329","2228","9779711","2331","8407996","2060","6684750","2012","17149996","3691","8600484","3005","9468714","2338","2740763","981","894748","337","1023786","276","260485","118"
"104年06月","中國","20068314","6717","30712128","10688","28373103","9937","12028217","5444","27855106","11516","9155043","3287","8836707","3783","6772163","3482","6411150","3618","11830996","5571","9555814","4756","6110014","2734","2735731","1385","913061","598","1965273","631","88817","44"
"104年06月","盧森堡","9223542","13810","20006978","25786","16567148","23445","9975784","14717","16384450","24673","5292420","8633","6639435","9921","5302991","7651","4794453","7114","8402860","13266","7237012","10629","5368235","7408","1928431","3283","940453","1437","659230","1240","243310","250"
"104年06月","新加坡","7341010","1766","20336362","4176","17237306","3420","6100845","1836","14428196","3393","4707172","1048","3789660","1005","4482093","1076","5014746","838","6457724","1523","4655129","1219","5525564","902","1914191","384","688508","126","674808","110","108589","16"
"104年06月","香港","8680883","1580","15983455","3041","11702574","2362","5383653","1179","13416134","2469","3803041","803","3398035","739","5774350","633","3422287","537","6292288","1351","4958829","915","4449731","548","2024130","296","341528","98","668407","93","63795","23"
"104年06月","法國","9270785","496","19376679","1763","16292134","992","3394826","413","10672062","831","2916623","371","2385264","257","2485458","214","2053086","196","3781317","380","5977964","395","1721948","93","723813","78","605604","37","191456","9","5273","1"
"104年06月","義大利","3989899","266","8156705","890","10695814","499","2602330","194","7150313","496","1550824","92","1453034","132","3078282","168","1475800","102","2815311","154","1699529","149","2237529","123","1948769","77","198292","11","772621","28","0","0"
"104年06月","德國","4007888","224","5728153","763","5749007","657","1677700","187","11188415","551","670610","92","967220","132","459208","61","1291340","133","1425909","209","1777643","210","1001587","94","152320","26","60219","15","195866","21","5302","3"
"104年07月","日本","34314021","7777","93747579","20976","89319356","17898","27881025","6100","64449536","13519","19464358","4261","23098935","5129","23091345","4845","13685662","2878","31781609","6939","27731171","5312","14516655","3423","8375177","1707","4578596","815","2844747","570","481433","91"
"104年07月","英國","28935149","24193","66999295","37192","56696636","38088","24905803","28593","58732451","47516","19094345","17780","21999428","21090","15101288","12548","14644084","16334","26836887","26171","23128257","18658","15601581","13455","6389083","7181","2728926","4033","2475406","2214","537411","559"
"104年07月","美國","13998773","3884","54127695","12401","43732714","10548","14754911","3899","40209760","7683","10664919","2576","9120521","2617","10434400","2585","7761764","2203","14344893","3800","11175022","2921","8502253","2180","3083324","1005","1103387","382","853344","312","100740","129"
"104年07月","中國","20358203","7154","34730518","11179","30382763","10749","14253973","5574","25495287","11133","8449260","3362","9616566","4139","7382239","3446","6150972","3531","11451174","5810","9637048","5039","5994169","2766","2496395","1566","976911","580","998441","616","43619","28"
"104年07月","新加坡","10226923","2596","27189401","5696","23583625","4740","8907437","2334","19166362","4701","6617501","1514","5941710","1622","5856747","1478","6262909","1123","10348946","2418","6804735","1741","7366657","1457","2251336","572","836291","218","1243468","222","90690","24"
"104年07月","盧森堡","9604276","14408","19701890","26090","17247524","24057","9813527","15027","16694494","25408","5664689","9137","7073371","10522","4793489","7730","4740095","7234","8560034","13956","7490723","11401","5297178","7669","1943939","3407","1055845","1612","924356","1440","200825","206"
"104年07月","香港","8375972","1734","16066336","3169","11782062","2694","4918302","1131","15120947","2406","3941378","799","3148890","775","3619137","729","2757504","627","6094458","1370","3871814","909","3132426","688","847498","221","394870","122","503413","120","66438","22"
"104年07月","法國","3591850","417","15712873","1833","15855717","1058","3863630","450","9375017","979","2496498","457","2550882","401","3601707","449","1358598","154","4620377","570","5019782","406","4810449","365","897649","128","1305485","143","132994","48","6278","1"
"104年07月","義大利","3087217","253","9053310","857","8060272","677","2207004","206","6127903","613","878630","146","3388411","211","1287876","124","1388053","166","1461315","245","1829108","237","1089389","113","510055","107","15310","6","520912","36","6588","3"
"104年07月","澳門","2647598","255","5887445","408","6180801","334","1933325","158","3738322","277","2620110","83","1636128","100","1763771","121","2445551","94","882970","166","1058178","86","245712","48","364609","40","201222","18","463038","19","221117","4"
"104年08月","日本","31659472","7287","92229653","19776","75879337","15986","29151497","6092","59980258","13197","18997669","4024","20656785","4507","24877365","4967","13887319","3159","34744129","7517","25203193","5214","14307987","3009","6306386","1497","3435126","627","2498332","579","540609","86"
"104年08月","英國","31808545","28328","69926520","42193","60084041","45300","30538354","33494","77515592","55142","20231946","19836","22338657","22690","19115964","14554","16973874","18727","28465977","28284","29020290","22032","16602148","15062","6802271","8332","3445899","4575","3115242","2686","330663","558"
"104年08月","美國","17119149","4292","51436655","11800","44000974","9791","11775796","3460","35724338","7788","9351819","2553","11532584","2615","10713558","2298","6625511","1933","12840311","3618","11111122","2953","8136766","2096","4137224","1124","1189511","339","515168","189","85680","126"
"104年08月","中國","17304769","7585","37315791","12453","32589716","11387","14902296","6374","30673276","13005","9539457","3861","9384757","4627","8791828","4119","6077343","3650","12176309","6098","10083338","5241","5939770","2801","2559556","1462","846270","631","1174646","677","86891","28"
"104年08月","盧森堡","10691645","16075","21814090","30312","20849057","28243","12726799","18325","19214718","29155","6780322","10480","7835250","11413","5478084","8739","5029778","8031","10329776","15768","7645104","12271","5329969","8533","2198620","3780","996446","1566","783952","1509","218625","272"
"104年08月","新加坡","7531757","2681","23257457","6524","19470167","5191","7756650","2671","21011437","6552","4288293","1506","6361426","2807","5607384","1434","4009378","1404","9022135","2768","5358222","1802","5645368","1271","1274741","502","650690","186","676704","160","99408","28"
"104年08月","香港","8494394","1742","18873895","3465","16502010","2959","6460427","1396","13584079","2679","3842705","929","3582423","802","6434334","786","3978889","617","8096489","1594","4230716","983","2848871","690","1560512","318","613997","124","412307","107","76008","21"
"104年08月","法國","3462802","375","10962227","1190","14745314","823","2463989","299","6111790","744","1282381","261","2715553","295","1591986","150","672886","163","2810427","279","2107513","237","1829783","170","872760","128","449256","24","450690","53","0","0"
"104年08月","澳門","4374057","212","7650861","479","9552463","318","3935327","262","5554856","357","1173482","108","2039656","134","2005745","198","1116153","93","1209364","173","2773328","109","864220","75","397955","43","60072","12","494219","14","0","0"
"104年08月","南韓","2184049","534","8221528","1954","6264533","1784","2435398","466","3382541","643","1708624","358","1762496","390","1205734","304","917700","224","1387292","274","3299843","459","1297802","405","506002","160","79237","40","128401","20","37383","2"
"104年09月","日本","33442835","7713","85201621","18196","69612870","14528","28939910","5745","56359456","12243","16267287","3727","17845207","3893","19049786","4139","11770280","2651","28816199","6152","23458907","4704","11771457","2483","5621061","1316","2014966","524","1462506","347","181234","74"
"104年09月","英國","26292621","27030","72300333","39450","66478858","40917","29218361","29779","57489240","49595","17180516","17932","20366014","21006","15185642","12654","14489199","16948","26636302","26854","23196177","20414","17291838","14174","5872382","7335","3027986","4386","2295200","2220","577544","555"
"104年09月","美國","14078150","3995","40377267","9477","37764196","8324","12328030","2870","35719706","7009","10948781","2393","9448999","2410","7555607","2179","6185106","1951","13809426","3261","9083141","2641","7065056","1893","2825846","879","916370","330","656786","191","48948","101"
"104年09月","中國","22964429","7484","36779602","11805","33723859","11152","12964495","5858","29059656","12584","8954967","3743","9095458","4484","8169601","3969","6396272","3447","11912275","6082","10161146","4923","6970660","3225","2416692","1483","962543","687","1198871","603","89328","48"
"104年09月","盧森堡","10110816","15908","19730051","28820","19021389","26917","11670766","17459","17974796","28121","6502099","10174","7218830","11008","5289966","8436","4894112","8080","9096272","15262","8063159","12331","5785585","8793","2674177","3984","970412","1586","757522","1410","261110","261"
"104年09月","新加坡","9388067","2489","20427142","5724","18193964","4727","6163302","2202","14030088","6421","4302081","1506","5323054","3201","5004782","1281","4059143","1631","8854678","2510","4675678","1808","4772151","1766","1138956","395","519868","172","442933","121","88690","13"
"104年09月","香港","9740470","1725","21682818","3513","13062935","2930","5024577","1300","12768105","2577","4527385","822","3360667","655","3700430","708","2986889","649","6765882","1378","3657058","917","3061414","584","1113800","242","732591","132","363524","112","9896","14"
"104年09月","澳門","3955299","249","14833198","373","11356990","342","3334633","171","10987696","325","1261226","93","621389","109","2433143","129","418357","74","1450614","201","679564","93","860847","74","274187","29","748403","22","1706054","21","4880","2"
"104年09月","法國","6131854","421","12438858","1132","7552249","691","3844450","373","7573383","682","2586571","236","1210071","197","4323638","264","2295876","173","2703774","241","2454733","205","870629","107","369487","51","117008","20","63630","4","0","0"
"104年09月","南韓","3698730","932","9835140","2531","9072153","2257","3123868","663","5070728","1232","3207766","498","1975254","415","3136123","542","1652303","324","5743359","919","3958289","628","1732335","436","1345265","182","470671","91","152978","37","59318","17"
"104年10月","日本","39009860","8314","93696134","20320","85192265","16377","32161091","7149","63880700","12612","20452684","4178","19261570","4064","20961639","4172","14750330","2974","32850470","6710","25832353","5048","17215343","2826","8575886","1413","3748641","741","1857120","382","385843","102"
"104年10月","英國","26343638","26222","64068441","37420","60380766","39937","27663092","29326","61681617","49662","16244978","18462","20193222","21717","14674892","13450","14515154","17859","28039946","28691","21257107","21010","15682589","15037","7160137","7671","3702965","4175","1736996","2271","445335","504"
"104年10月","美國","16575409","4234","47939211","10824","42961151","8932","13321380","3671","33003465","7300","10493741","2322","9579306","2718","8118339","2179","6143567","2254","14262366","3459","8793408","2727","8630894","2093","2480275","862","1039727","427","776995","223","103828","117"
"104年10月","中國","29765224","7913","32688033","11853","30915642","11308","12125597","6216","29088846","13569","8489628","4049","11704235","4628","8930459","3752","6297247","3870","12007194","6507","10834826","5514","6734382","3370","2963617","1690","952299","777","1335570","701","171578","103"
"104年10月","盧森堡","9852529","15277","18885398","26806","17382879","25355","11274420","16618","17995346","27276","6192171","9883","6949354","10841","4713139","8234","4795258","7890","8391102","14719","7691394","12273","6998925","9000","2399182","4042","1202838","1802","768740","1448","145694","202"
"104年10月","新加坡","6456708","1767","28414068","3822","15128773","3163","4992627","1501","13152783","3244","4785001","984","3395122","944","4084189","986","6001245","733","6729095","1428","3807648","1143","5140599","887","1554216","302","385546","156","132047","93","55928","25"
"104年10月","香港","9101261","1664","15779311","3309","16421331","2790","5889192","1216","11944246","2675","6952053","751","3510742","705","5973803","678","2478727","598","7744800","1425","4886661","898","2428500","571","907517","262","468856","115","615936","81","12537","10"
"104年10月","南韓","5009422","1089","9864290","3022","9203914","2474","4014207","718","10610984","1425","3907333","557","3525947","629","1988555","523","1769749","357","6159800","819","3099897","644","2133627","450","573994","137","445920","107","75337","20","62006","9"
"104年10月","義大利","5476267","267","12176244","876","18689145","695","3557634","204","6686914","574","2590918","161","1684432","140","1933725","131","1267241","130","2033525","154","2398462","176","1582355","90","658944","61","246051","12","98781","5","2337","1"
"104年10月","法國","3915696","262","13209553","1272","8278871","809","3123588","277","7713510","545","1858941","246","1191833","178","3571546","215","2666748","203","3575188","254","4363657","294","1652745","133","952384","56","345174","35","51165","12","161076","7"
"104年11月","英國","34804423","36476","77514701","56974","68450790","58686","36366480","41901","71257774","68495","21395642","25652","25538093","29605","19084311","19810","18178357","23092","34752074","39009","28920135","28836","19315522","19672","8674351","11075","3966138","5486","3188754","3607","472695","562"
"104年11月","日本","39735782","7804","90704254","19448","75193783","15246","30572119","6023","67118600","13009","18103905","4066","20596033","3904","22260858","4385","12795058","2747","29526276","6046","27705511","5153","13377490","2624","7117416","1271","3318087","559","2207181","458","393774","68"
"104年11月","美國","15135849","3887","51062677","10136","61394981","9124","13183288","3600","38919030","7688","10421033","2190","10366726","2687","9582710","2246","6563689","2020","13095219","3186","8831124","2606","7905674","1880","3204099","847","1747107","399","957146","211","116446","119"
"104年11月","中國","24204905","10396","43997317","17674","43268128","17513","16158644","8017","39434431","19004","10106186","5159","7490516","6336","9477956","5210","7868510","4901","16105442","8851","12973235","7579","12793695","4756","3468388","2161","1558281","937","1686777","962","464693","207"
"104年11月","新加坡","6655776","1628","20889913","3889","16224123","3397","7916128","1602","13348769","3309","5100020","1015","4714498","1005","4606498","923","5904787","661","6806033","1451","4811056","1385","4761528","796","1161817","258","711478","138","301151","86","153461","45"
"104年11月","香港","10561250","1830","17817040","3292","16710478","2960","5879805","1349","11448091","2674","3768269","792","4848244","795","3923749","692","3489950","606","7807139","1419","4203428","883","2711183","626","1055989","267","606459","134","658093","120","73064","16"
"104年11月","南韓","5173400","1044","10653102","3036","10023217","2658","4003716","878","8861661","1698","5260318","751","3840615","702","2600640","533","1627176","399","5856157","826","4838241","896","2831328","572","561729","115","477252","107","347188","72","125713","26"
"104年11月","盧森堡","4610431","6906","10370487","15576","10454568","14242","6510998","8781","8960681","13009","3248358","4538","3088931","4548","1721748","2957","2233826","3197","3877390","6041","3438394","5329","3049132","4519","905654","1518","438794","631","342687","604","238710","185"
"104年11月","荷蘭","3318992","3695","6832274","4660","5195165","3469","2435717","1749","5911061","3712","2536225","1394","1212752","1213","1817624","1619","1463573","1134","4540316","2203","3007134","2097","4003394","1771","997208","681","315560","393","372185","254","97628","48"
"104年11月","義大利","3351540","254","7850375","619","5446598","339","1427112","126","7770449","567","1486088","90","2162771","134","1012624","97","1615032","87","2331595","149","2683247","149","357079","49","461110","58","147663","10","417429","26","-790","-1"
"104年12月","英國","40978318","40027","90015477","62588","76343887","61768","37824220","44283","87676005","74341","24538763","27114","29185258","31333","22249980","20888","22754296","25599","36408493","40523","28439157","30999","22899290","20916","9103769","11098","5231152","6315","3502571","3976","990241","799"
"104年12月","日本","45326119","8458","101781643","21684","89094721","17992","32600496","6615","64176269","12930","17110262","3754","23349887","4284","20868562","4397","14667118","3030","38672655","7522","23347866","5209","12426281","2761","7684018","1361","3736398","751","1917525","479","304693","59"
"104年12月","美國","16272800","3857","46974517","10685","42187896","9072","12522497","3287","37737177","7078","9458128","2151","10612573","2559","11859366","2302","6876281","1854","15958498","3275","9549407","2705","8279450","2095","3445080","817","1275052","449","1172280","202","104705","76"
"104年12月","中國","25560551","10250","42935413","16511","40131880","16713","17975387","8062","36622861","17851","10414194","5307","-7850047","6276","9468738","5172","8040643","4865","15864141","8931","11923262","7524","8703918","4378","3415106","2208","1211161","938","1938599","1082","236173","186"
"104年12月","新加坡","7147660","2023","24479357","4156","19306559","3839","9670392","1780","16097164","3618","5960844","1054","5673444","1004","4679986","930","5912369","852","6873733","1435","6548692","1554","4378402","808","1516241","363","737197","139","285864","93","115297","30"
"104年12月","香港","10670584","1844","22553789","3997","17599996","3378","6200690","1377","13873931","2972","3783092","800","3710826","763","4516423","785","4606611","636","10287377","1531","4697108","947","3635174","672","1079870","238","663567","144","474765","110","82214","16"
"104年12月","盧森堡","5733624","8193","13076539","18344","14549073","16764","8060541","10460","11521761","15378","3772852","5013","4327517","5627","2102107","3405","2628420","3699","4660693","6948","4247170","6308","4011525","4984","1613601","1963","776921","820","491704","753","85054","135"
"104年12月","南韓","4614166","1068","12221554","3547","11328613","2753","4564741","937","10643607","1762","4883032","642","3956071","705","4086571","652","2387748","448","6330080","940","3807253","868","2808922","656","1246313","202","703993","205","286744","72","72398","23"
"104年12月","荷蘭","4012121","4654","6976567","5501","5827268","4398","2515179","2347","6701999","5148","2873736","2024","1877282","1738","1946419","1910","2324672","1574","4140932","2803","3109440","2842","3376274","2012","1145587","840","336601","574","329002","305","34474","63"
"104年12月","澳門","2645579","197","8507126","466","7061429","446","3901037","206","3772768","354","2470655","149","990055","118","1354831","140","803884","120","1855599","213","1810179","122","1140769","95","497792","55","527106","24","425993","17","0","0"
"105年01月","英國","46841552","37416","94827895","60701","76688143","57651","38282926","41883","74040874","68855","24795468","25011","34532668","30270","20971119","19409","19722127","23021","36724252","38709","32670354","31547","21045285","20431","12641593","10887","4778791","5935","3170342","3751","808884","788"
"105年01月","日本","37964330","8628","106100919","21913","89391184","17972","34021908","7029","67851124","13549","20134514","3891","23030276","4937","24084224","4796","14622379","3181","37618526","7675","27774011","5502","15327007","3233","7836679","1388","3966683","807","2765048","636","663566","155"
"105年01月","中國","18164100","9677","39000271","16213","39415515","15185","16072958","8307","34485170","17899","9105148","5408","7927973","6066","8971957","4965","7479510","4541","15981793","8896","12645026","7359","7449101","4313","3246839","1995","1429486","898","2092810","1273","355933","164"
"105年01月","美國","18758366","3657","42875030","9660","40722872","8535","9857314","3099","30181140","6516","8098206","2046","6703056","2270","10799362","2271","6465413","1818","10598885","3117","8842094","2255","8504445","2938","2319594","661","1426157","402","837804","181","247101","92"
"105年01月","新加坡","7537564","2360","19683564","4135","18019609","3480","6332029","1638","17811341","3488","5414900","1048","5202633","1153","5952105","1002","4540217","1033","6969509","1597","5128222","1387","3886524","873","1245214","358","713344","144","739279","131","216701","41"
