,0
154,卡爾．施維寧格 Carl Schweninger
155,溫斯洛．霍默 Winslow Homer
156,惠斯特 James Abbott McNeill Whistler
157,戴克 Anthony van Dyck
158,卡納萊托 Giovanni Antonio Canaletto
159,方汀 Henri Fantin Latour
160,大衛．特尼爾茲 David Teniers
161,貝里尼 Giovanni Bellini
162,安娜．瑪麗．羅伯森．摩西 Anna Mary Robertson Moses
163,弗蘭克．馬卡姆．史基普渥斯 Frank Markham Skipworth
164,包士 Hieronymus Bosch
165,米雷 John Everett Millais
166,安德魯．魏斯 Andrew Wyeth
167,弗雷德里克．阿瑟．布里奇曼 Frederick Arthur Bridgman
168,烏拉曼克 Maurice de Vlaminck
169,柯洛 Jean Baptiste Camille Corot
170,曼迪那 Andrea Mantegna
171,摩爾 Albert Joseph Moore
172,杜比尼 Charles Francois Daubigny
173,亞維肯 Hendrick Avercamp
174,艾克 Jan van Eyck
175,孟陵 Hans Memling
176,格羅 Antoine-Jean Gros
177,勒布倫 Elisabeth Vigee Le Brun
178,蒙地利亞尼 Amedeo Modigliani
179,魯東 Odilon Redon
180,萊波爾德 Carl Julius von Leypold
181,伊凡．克拉姆斯柯依 Ivan Kramskoi
