,0
126,油彩．水粉彩．畫布．木板 Oil colors freely mixed with turpentine. with traces of watercolor and pastel over pen-and-ink drawing on cream-colored wove paper. laid down on bristol board and mounted on canvas
127,混和．紙 Mixed on paper
128,油彩．鉛筆．畫布 Oil and pencil on canvas
129,水彩．水粉．紙．畫布 Watercolor and gouache on paper mounted on canvas
130,油墨．畫布 Oil and ink on canvas
131,油彩．白楊木 Oil on poplar
132,油彩．畫布．木板 Oil on canvas board
133,油彩、木板 Oil on Wood
134,鋼筆．墨水．水彩．粉筆 Pen and black ink. gouache. and watercolor over black chalk
135,蠟筆．水粉．蛋彩．木炭．紙板 pastel. gouache. tempera and charcoal on brown paper pasted on cardboard
136,油彩．亞麻布 oil on linen
137,蠟筆．版畫 Pastel over lithograph
138,版畫 Lithograph
139,蠟筆．硬紙板 Pastel on cardboard
140,油彩．紙．畫布 Oil on paper laid down on canvas
141,油彩．黃麻布 Oil on jute
142,水粉．鉛筆 Gouache and pencil
143,油彩．硬紙板 Oil and sawdust on cardboard
144,油墨．木炭．畫布 Oil And Charcoal On Canvas
145,水彩．鉛筆 Watercolour over pencil
146,蝕刻畫 Etching
147,油彩．畫板 Tempera and oil on panel
