日期,收市,開市,高,低,成交量,更改%
2021年2月28日,210.04,225.54,228.47,195.22,6.00M,-6.68%
2021年2月27日,225.07,222.08,237.7,219.32,4.46M,1.35%
2021年2月26日,222.08,233.7,238.71,209.98,7.82M,-4.97%
2021年2月25日,233.7,254.26,264.46,232.19,7.22M,-8.09%
2021年2月24日,254.26,231.71,280.66,213.89,12.30M,9.73%
2021年2月23日,231.72,267.42,268.69,188.71,16.50M,-13.35%
2021年2月22日,267.43,293.77,295.15,222.44,13.34M,-8.97%
2021年2月21日,293.76,254.33,308.54,249.64,11.49M,15.49%
2021年2月20日,254.36,332.74,334.15,223.93,14.42M,-23.56%
2021年2月19日,332.74,195.74,346.82,195.07,21.23M,69.99%
2021年2月18日,195.74,165.38,199.66,163.11,11.91M,18.36%
2021年2月17日,165.38,130.09,175.33,126.91,10.82M,27.13%
2021年2月16日,130.09,129.99,133.43,126.34,3.57M,0.08%
2021年2月15日,129.98,135.97,142.07,118.64,5.26M,-4.41%
2021年2月14日,135.98,133.09,138.78,128.53,4.90M,2.18%
2021年2月13日,133.07,136.64,138.47,125.07,4.20M,-2.52%
2021年2月12日,136.52,124.03,140.93,121.1,6.22M,10.07%
2021年2月11日,124.03,128.73,132.76,118.07,6.54M,-3.64%
2021年2月10日,128.72,107.61,148.27,107.61,18.37M,19.62%
2021年2月9日,107.6,79.73,115.33,78.23,13.65M,35.00%
2021年2月8日,79.71,68.41,79.75,67.72,8.52M,16.53%
2021年2月7日,68.4,72.86,74.62,64.35,6.25M,-5.76%
2021年2月6日,72.58,67.74,75.43,61.96,8.97M,7.12%
2021年2月5日,67.75,55.66,68.72,55.66,5.75M,21.74%
2021年2月4日,55.66,52.15,56.65,51.46,4.52M,6.76%
2021年2月3日,52.13,50.99,52.56,49.82,3.41M,2.24%
2021年2月2日,50.99,51.42,52.99,49.26,5.78M,-0.82%
2021年2月1日,51.42,44.31,52.32,43.43,7.97M,16.13%
2021年1月31日,44.27,44.77,45.78,43.35,2.92M,-1.08%
2021年1月30日,44.76,42.88,45.09,42.6,3.24M,4.40%
2021年1月29日,42.87,42.48,44,41.84,3.91M,0.93%
2021年1月28日,42.47,40.97,43.08,40.36,3.35M,3.63%
2021年1月27日,40.99,41.74,42.05,39.67,2.93M,-1.80%
2021年1月26日,41.74,41.78,42.51,39.87,3.24M,-0.10%
2021年1月25日,41.78,41.82,43.38,40.57,3.14M,-0.11%
2021年1月24日,41.82,40.92,42.2,40.36,2.59M,2.22%
2021年1月23日,40.92,40.87,41.83,39.5,2.79M,0.11%
2021年1月22日,40.87,38.69,41.35,36.92,3.47M,5.66%
2021年1月21日,38.68,42.57,42.63,38.37,3.88M,-9.14%
2021年1月20日,42.57,42.6,42.76,40.29,4.23M,-0.13%
2021年1月19日,42.62,45.36,47.19,41.75,5.77M,-6.02%
2021年1月18日,45.35,45.91,46.88,44.07,3.37M,-0.93%
2021年1月17日,45.78,43.1,46.69,40.94,4.26M,6.21%
2021年1月16日,43.1,40.92,44.1,40.68,3.56M,5.35%
2021年1月15日,40.91,41.88,42.54,38.87,3.77M,-2.31%
2021年1月14日,41.88,40.12,41.93,39.65,3.59M,4.39%
2021年1月13日,40.12,38.24,40.42,37.05,3.91M,4.89%
2021年1月12日,38.25,38.16,40.01,37.13,4.38M,0.00%
2021年1月11日,38.26,42.42,42.44,35.1,8.52M,-9.84%
2021年1月10日,42.43,43.84,45.12,40.14,5.55M,-3.19%
2021年1月9日,43.83,42.33,44.02,41.51,3.56M,3.55%
2021年1月8日,42.33,43.62,43.65,40.34,4.69M,-3.01%
2021年1月7日,43.64,42.22,44.47,41.41,6.79M,3.45%
2021年1月6日,42.19,41.79,42.19,40.5,5.24M,0.95%
2021年1月5日,41.79,41.12,41.79,38.86,4.88M,1.68%
2021年1月4日,41.1,41.25,43.21,38.09,6.87M,-0.29%
2021年1月3日,41.22,38.24,41.64,37.78,6.34M,7.81%
2021年1月2日,38.23,37.73,38.46,36.81,3.94M,1.35%
2021年1月1日,37.72,37.33,38.93,36.98,3.24M,1.04%
